total_reward,episode_length,epsilon,game_won,timeout,final_territory,final_army,episode,timestamp
-0.01,1,0.2519690537792925,0.0,False,11,422,164,1749851138.7196953
-0.01,1,0.2519690537792925,0.0,False,12,382,165,1749851138.7201273
-0.01,1,0.2519690537792925,0.0,False,12,414,166,1749851138.7205234
-0.01,1,0.2519690537792925,0.0,False,13,433,167,1749851138.7209194
-0.01,1,0.2519690537792925,0.0,False,14,428,168,1749851138.7213826
-34.710000000002005,5000,0.22229219984074702,0.0,True,12,429,169,1749851457.4127722
-34.66000000000184,5000,0.22229219984074702,0.0,True,12,434,170,1749851457.4142857
-38.040000000001385,5000,0.22229219984074702,0.0,True,9,396,171,1749851457.4148443
-38.18000000000079,5000,0.22229219984074702,0.0,True,9,382,172,1749851457.4153547
-35.95000000000189,5000,0.22229219984074702,0.0,True,11,405,173,1749851457.4158087
-34.85000000000177,5000,0.22229219984074702,0.0,True,12,415,174,1749851457.416301
-37.000000000001165,5000,0.22229219984074702,0.0,True,10,400,175,1749851457.4167318
-34.70000000000162,5000,0.22229219984074702,0.0,True,12,430,176,1749851457.417182
-0.01,1,0.22229219984074702,0.0,False,12,429,177,1749851457.4857981
-0.01,1,0.22229219984074702,0.0,False,12,434,178,1749851457.4867592
0.0,1,0.22229219984074702,0.0,False,9,397,179,1749851457.4873059
0.0,1,0.22229219984074702,0.0,False,9,383,180,1749851457.4880762
0.0,1,0.22229219984074702,0.0,False,11,406,181,1749851457.4886856
0.0,1,0.22229219984074702,0.0,False,12,416,182,1749851457.4892013
0.0,1,0.22229219984074702,0.0,False,10,401,183,1749851457.4896195
0.0,1,0.22229219984074702,0.0,False,12,431,184,1749851457.490029
-32.78000000000256,5000,0.19611067854912728,0.0,True,14,422,185,1749851779.260864
-31.730000000003155,5000,0.19611067854912728,0.0,True,15,427,186,1749851779.2620153
-33.57000000000204,5000,0.19611067854912728,0.0,True,13,443,187,1749851779.262468
-34.660000000001496,5000,0.19611067854912728,0.0,True,12,434,188,1749851779.2628844
-35.72000000000143,5000,0.19611067854912728,0.0,True,11,428,189,1749851779.2632978
-34.78000000000177,5000,0.19611067854912728,0.0,True,12,422,190,1749851779.2637672
